ticker,last,prevClose,volume,avgVol,currency,last_eur,prevClose_eur,as_of
QCOM,159.7100067138672,157.39,7758057,7019850,USD,137.03117736410795,135.04061172557897,2025-09-04T20:34:27.298380Z
RIVN,13.699999809265137,14.49,82546706,49150050,USD,11.75459911610318,12.43241923822123,2025-09-04T20:34:27.298380Z
RTX,158.67999267578125,157.4235,2161947,3461010,USD,136.14742537358086,135.06935472381778,2025-09-04T20:34:27.298380Z
SAP,271.989990234375,271.5,967749,1322280,USD,233.36739732183906,232.94698572650543,2025-09-04T20:34:27.298380Z
SBUX,87.01000213623047,87.25,6608144,8200330,USD,74.65457725853292,74.86049541302984,2025-09-04T20:34:27.298380Z
SE,189.7100067138672,180.52,3963990,3764240,USD,162.77117578692622,154.88615050957188,2025-09-04T20:34:27.298380Z
SEDG,34.15999984741211,33.46,3398309,3719230,USD,29.309278073195348,28.708678240916658,2025-09-04T20:34:27.298380Z
SHEL,72.30999755859375,72.605,3593836,2904829,USD,62.041974103739896,62.29508618295738,2025-09-04T20:34:27.298380Z
SHOP,145.14999389648438,140.05,6413402,5352280,USD,124.53868713225303,120.16289263719001,2025-09-04T20:34:27.298380Z
SIE.DE,230.0500030517578,229.45,633969,762194,EUR,230.0500030517578,229.45,2025-09-04T20:34:27.298380Z
SLB,36.0099983215332,35.04,12305160,14235180,USD,30.896576666731786,30.06431815785175,2025-09-04T20:34:27.298380Z
SMCI,40.70000076293945,40.0801,21661571,23736620,USD,34.92059851489215,34.38872369287997,2025-09-04T20:34:27.298380Z
SNOW,221.89999389648438,224.82,12776985,10505680,USD,190.39018309729647,192.8955481806002,2025-09-04T20:34:27.298380Z
SRT.DE,156.0,161.8,5418,2819,EUR,156.0,161.8,2025-09-04T20:34:27.298380Z
SU.PA,217.25,217.8000030517578,668631,772637,EUR,217.25,217.8000030517578,2025-09-04T20:34:27.298380Z
SYK,394.3399963378906,381.04,828605,982330,USD,338.3436961263824,326.9322999676893,2025-09-04T20:34:27.298380Z
TCEHY,76.0999984741211,77.06999969482422,461491,1734100,USD,65.29379469001168,66.12605568637936,2025-09-04T20:34:27.298380Z
TEAM,168.0800018310547,169.85,3096417,2159570,USD,144.2126327346214,145.73129107052284,2025-09-04T20:34:27.298380Z
TM,197.63999938964844,194.95,204145,284520,USD,169.5751090858452,167.26708975094746,2025-09-04T20:34:27.298380Z
TMO,489.489990234375,481.5,1152777,1433000,USD,419.9823858872716,413.1269746862334,2025-09-04T20:34:27.298380Z
TSLA,338.5299987792969,334.94,60087858,75225730,USD,290.45872115519256,287.3785023912918,2025-09-04T20:34:27.298380Z
TSM,235.2100067138672,231.61,5308911,10704390,USD,201.8101733948673,198.72136782363143,2025-09-04T20:34:27.298380Z
TXN,187.2899932861328,195.87,11273621,5657520,USD,160.69480439315683,168.05644970258055,2025-09-04T20:34:27.298380Z
UL,65.01000213623047,64.27,2746266,2321620,USD,55.77857841513284,55.143656621151024,2025-09-04T20:34:27.298380Z
UPS,84.4800033569336,85.39,10569221,7343710,USD,72.48383843890512,73.2646155108151,2025-09-04T20:34:27.298380Z
VRT,125.69999694824219,125.47,4050534,6001730,USD,107.85059077320055,107.65325340370032,2025-09-04T20:34:27.298380Z
VUSA.DE,105.47000122070312,104.595,25774,27709,EUR,105.47000122070312,104.595,2025-09-04T20:34:27.298380Z
VZ,44.18000030517578,43.75,11710628,17095630,USD,37.906437939177856,37.53749769994332,2025-09-04T20:34:27.298380Z
WMT,100.93000030517578,99.3,15579118,22651660,USD,86.59793495567577,85.1993947795285,2025-09-04T20:34:27.298380Z
WOLF,1.2400000095367432,1.29,3790659,6146590,USD,1.0639199429923474,1.106819932181186,2025-09-04T20:34:27.298380Z
XOM,112.4000015258789,111.85,12734636,14680720,USD,96.43919540002985,95.96729411974081,2025-09-04T20:34:27.298380Z
ZBH,104.76000213623047,104.9,808780,1224930,USD,89.88407632536706,90.00419448512126,2025-09-04T20:34:27.298380Z
ZS,268.25,270.0,2078294,2062330,USD,230.1584858973668,231.65998580536453,2025-09-04T20:34:27.298380Z
